position,overall,name,nation,club,age
CB,68,Nick Hagglund,United States,FC Cincinnati,31
CB,59,Nick Otto,Germany,SC Verl,24
CB,73,Nick Viergever,Holland,FC Utrecht,34
CB,64,Nico Antonitsch,Austria,SV Elversberg,32
CB,60,Nico Carrera,United States,Holstein Kiel,21
CB,77,Nico Elvedi,Switzerland,M'gladbach,27
CB,60,Nico Lawrence,England,Colchester,19
CB,83,Nico Schlotterbeck,Germany,Borussia Dortmund,23
CB,71,Nicolai Boilesen,Denmark,F.C. København,31
CB,63,Nicolai Geertsen,Denmark,Hvidovre IF,32
CB,65,Nicolai Næss,Norway,Stabæk Fotball,30
CB,67,Nicolás Berardo,Argentina,Club Magallanes,33
CB,68,Nicolas Bürgy,Switzerland,Viborg FF,28
CB,67,Nicolas Capraro,Argentina,Barracas Central,25
CB,70,Nicolás Ferreyra,Argentina,Bolívar,30
CB,76,Nicolás Figal,Argentina,Boca Juniors,29
CB,61,Nicolás Goitea,Argentina,Delfín S.C.,26
CB,68,Nicolas Isimat-Mirin,France,Vitesse,31
CB,69,Nicolas Meriano,Argentina,Belgrano,22
CB,82,Nicolás Otamendi,Argentina,SL Benfica,35
CB,59,Nicolas P. Jenssen,Norway,Stabæk Fotball,21
CB,75,Nicolas Pallois,France,FC Nantes,36
CB,67,Nicolás Paz,Argentina,Unión,20
CB,69,Nicolás Romero,Argentina,Atlético Tucumán,19
CB,62,Nicolas Samayoa,Guatemala,Politehnica Iași,28
CB,72,Nicolás Valentini,Argentina,Boca Juniors,22
CB,65,Nicolas Vouilloz,Switzerland,Servette FC,22
CB,69,Nicolas Wimmer,Austria,Austria Klagenfurt,28
CB,66,Nicolás Zalazar,Argentina,Ñublense,26
CB,61,Nicolò Bertola,Italy,Spezia,20
CB,67,Nicolò Brighenti,Italy,Catanzaro,34
CB,79,Nicolò Casale,Italy,Latium,25
CB,66,Nigel Lonwijk,Holland,Grasshopper Club,20
CB,68,Nihad Mujakić,Bosnia and Herzegovina,MKE Ankaragücü,25
CB,51,Nikhil Prabhu,India,Punjab FC,23
CB,61,Niklas Dahlström,Sweden,Varbergs BoIS,26
CB,64,Niklas Geyrhofer,Austria,SK Sturm Graz,23
CB,65,Niklas Gunnarsson,Norway,Yverdon Sport FC,32
CB,62,Niklas Kastenhofer,Germany,VfB Lübeck,24
CB,64,Niklas Landgraf,Germany,Hallescher FC,27
CB,65,Niklas Lang,Germany,1860 München,21
CB,72,Niklas Moisander,Finland,Malmö FF,38
CB,74,Niklas Stark,Germany,SV Werder Bremen,28
CB,84,Niklas Süle,Germany,Borussia Dortmund,28
CB,63,Niklas Wiemann,Germany,VfL Osnabrück,24
CB,57,Niko Koulis,Germany,Preußen Münster,24
CB,58,Niko Vukancic,Germany,FC Erzgebirge Aue,21
CB,61,Nikola Djorić,Serbia,Austria Klagenfurt,23
CB,69,Nikola Katić,Croatia,FC Zürich,26
CB,67,Nikola Maksimović,Serbia,Hatayspor,31
CB,70,Nikola Maraš,Serbia,D. Alavés,27
CB,79,Nikola Milenković,Serbia,Fiorentina,25
CB,69,Nikola Šipčić,Montenegro,CD Tenerife,28
CB,68,Nikola Soldo,Croatia,Kaiserslautern,22
CB,62,Nikolai Hopland,Norway,Aalesunds FK,19
CB,63,Nikolaos Michelis,Greece,CA Osasuna,22
CB,56,Nim Dorjee Tamang,India,Hyderabad FC,27
CB,68,Nino Galović,Croatia,Arouca,31
CB,64,Nkosi Tafari,United States,FC Dallas,26
CB,63,Nnamdi Collins,Germany,Frankfurt,19
CB,55,Noah De Queiroz,Switzerland,FC Lugano,20
CB,60,Noah Dodeigne,Belgium,Standard Liège,22
CB,63,Noah Eile,Sweden,Mjällby AIF,21
CB,67,Noah Loosli,Switzerland,VfL Bochum,26
CB,72,Noë Dussenne,Belgium,Lausanne-Sport,31
CB,64,Noé Sow,France,Pau FC,24
CB,57,Noor Al Rashidi,Saudi Arabia,Damac FC,28
CB,72,Norbert Gyömbér,Slovakia,Salernitana,31
CB,64,Nosa Iyobosa Edokpolor,Austria,SCR Altach,27
CB,66,Nuno Reis,Portugal,Melbourne City,32
CB,68,Odei,Spain,FC Goa,33
CB,60,Odel Offiah,England,Hearts,20
CB,76,Odilon Kossounou,Côte d'Ivoire,Leverkusen,22
CB,68,Odin Luraas Bjørtuft,Norway,FK Bodø/Glimt,24
CB,68,Oh Ban Suk,Korea Republic,Incheon United,35
CB,65,Oier Luengo,Spain,R. Oviedo,25
CB,59,Oisín McEntee,Republic of Ireland,Walsall,22
CB,66,Okan Erdoğan,Turkey,İstanbulspor,25
CB,71,Oleksandr Syrota,Ukraine,Dynamo Kyiv,23
CB,61,Oliver Fobassam,Germany,Fürth,20
CB,68,Oliver Hüsing,Germany,Hansa Rostock,30
CB,56,Oliver Jones,Australia,Macarthur FC,20
CB,56,Oliver Pettersson,Finland,HJK Helsinki,20
CB,63,Oliver Provstgaard,Denmark,Vejle Boldklub,20
CB,55,Oliver Tipton,England,Notts County,20
CB,63,Olivier Aertssen,Holland,Ajax,19
CB,76,Olivier Boscagli,France,PSV,25
CB,64,Olly Casey,England,Blackpool,22
CB,76,Omar Alderete,Paraguay,Getafe CF,26
CB,65,Omar Beckles,Grenada,Leyton Orient,31
CB,74,Omar Colley,Gambia,Beşiktaş,30
CB,64,Omar Gonzalez,United States,New England,34
CB,66,Omar Hawsawi,Saudi Arabia,Al Ittihad,38
CB,60,Omar Sowunmi,England,Sutton United,27
CB,74,Ömer Toprak,Turkey,Antalyaspor,34
CB,64,Opa Sangante,Guinea-Bissau,USL Dunkerque,32
CB,65,Orlando Barreto,Paraguay,Olimpia,25
CB,64,Osarenren Okungbowa,Austria,WSG Tirol,29
CB,64,Osaze Urhoghide,England,Amiens SC,23
CB,74,Óscar Duarte,Costa Rica,Al Wehda,34
CB,69,Oscar Piris,Argentina,Unión,34
CB,68,Oscar Vanegas,Colombia,Millonarios,27
CB,59,Oscar Wallin,Sweden,Degerfors IF,22
CB,59,Oskar Ågren,Sweden,SJ Earthquakes,25
CB,57,Oskar Wójcik,Poland,Cracovia,20
CB,73,Osmar,Spain,FC Seoul,35
CB,66,Osvaldo Bosso,Chile,Audax Italiano,29
CB,70,Oumar Gonzalez,Cameroon,Al Raed,25
CB,76,Oumar Solet,France,RB Salzburg,23
CB,67,Ousmane Camara,France,Angers SCO,20
CB,75,Ousmane Diomande,Côte d'Ivoire,Sporting CP,19
CB,69,Ousmane Kanté,Guinea,Pau FC,34
CB,69,Oussama Haddadi,Tunisia,Fürth,31
CB,75,Ozan Kabak,Turkey,TSG Hoffenheim,23
CB,66,Pablo Iñiguez,Spain,Villarreal CF B,29
CB,62,Pablo López,Uruguay,Peñarol,21
CB,76,Pablo Marí,Spain,Monza,30
CB,68,Pablo Míguez,Uruguay,Alianza Lima,36
CB,65,Pablo Minissale,Argentina,Argentinos Jrs.,22
CB,63,Pablo Pedraza,Bolivia,The Strongest,28
CB,71,Pablo Santos,Brazil,Al Raed,31
CB,71,Pacheco,Spain,Real Sociedad,22
CB,61,Paddy Barrett,Republic of Ireland,Shelbourne,30
CB,72,Paddy McNair,Northern Ireland,Middlesbrough,28
CB,60,Pan Ximing,China PR,Meizhou Hakka,30
CB,74,Pantelis Hatzidiakos,Greece,Cagliari,26
CB,72,Paolo Goltz,Argentina,Colón,38
CB,65,Paolo Rozzio,Italy,Reggiana,31
CB,66,Pape Djibril Diaw,Senegal,Stade Lavallois,28
CB,71,Papy Djilobodji,Senegal,Gaziantep,34
CB,54,Parag Shrivas,India,Bengaluru FC,26
CB,63,Pardo,Spain,East Bengal,35
CB,59,Park Byung Hyun,Korea Republic,Suwon FC,30
CB,61,Park Chan Yong,Korea Republic,Pohang Steelers,27
CB,60,Park Dae Won,Korea Republic,Suwon Samsung,25
CB,50,Park Jae Kyung,Korea Republic,Daegu FC,23
CB,71,Park Ji Soo,Korea Republic,Wuhan 3 Towns,29
CB,65,Pascal Gregor,Denmark,Lyngby BK,29
CB,69,Pascal Stenzel,Germany,VfB Stuttgart,27
CB,73,Pascal Struijk,Holland,Leeds United,24
CB,76,Patric,Spain,Latium,30
CB,74,Patric Pfeiffer,Germany,FC Augsburg,24
CB,65,Patricio Matricardi,Argentina,FC Voluntari,29
CB,64,Patricio Ostachuk,Argentina,Independiente,23
CB,63,Patricio Pernicone,Argentina,Vélez Sarsfield,22
CB,64,Patricio Pizarro,Argentina,Huracán,23
CB,68,Patrick Bauer,Germany,Preston,30
CB,57,Patrick Gamble,England,Blackburn Rovers,20
CB,74,Patrick Mainka,Germany,Heidenheim,28
CB,62,Patrick Nwadike,Sweden,IK Sirius,25
CB,70,Patrick William,Brazil,Rio Ave FC,26
CB,67,Patrik Vydra,Czech Republic,Sparta Praha,20
CB,83,Pau Torres,Spain,Aston Villa,26
CB,67,Paudie O'Connor,Republic of Ireland,Lincoln City,26
CB,73,Paul Dummett,Wales,Newcastle Utd,32
CB,68,Paul Hanlon,Scotland,Hibernian,33
CB,65,Paul Huntington,England,Carlisle United,36
CB,66,Paul Iacob,Romania,FC Rapid 1923,27
CB,74,Paul Jaeckel,Germany,Union Berlin,25
CB,62,Paul Kalambayi,England,AFC Wimbledon,24
CB,58,Paul Koller,Austria,SCR Altach,21
CB,59,Paul Komposch,Austria,TSV Hartberg,22
CB,57,Paul Lehmann,Germany,Dynamo Dresden,19
CB,63,Paul McGinn,Scotland,Motherwell,32
CB,65,Paul Papp,Romania,FC Petrolul,33
CB,76,Paulo Díaz,Chile,River Plate,29
CB,75,Paulo Oliveira,Portugal,SC Braga,31
CB,67,Paulo Ricardo,Brazil,Al Hazem,29
CB,60,Paweł Baranowski,Poland,Ruch Chorzów,32
CB,72,Paweł Bochniewicz,Poland,sc Heerenveen,27
CB,73,Paweł Dawidowicz,Poland,Hellas Verona,28
CB,70,Pedrão,Brazil,Portimonense SC,26
CB,69,Pedro Álvaro,Portugal,Estoril Praia,23
CB,60,Pedro Gomes,Portugal,Boavista FC,20
CB,63,Pedro Justiniano,Guinea-Bissau,FC Petrolul,23
CB,61,Pei Shuai,China PR,Shenzhen FC,30
CB,67,Pep Gayà,Spain,SD Amorebieta,23
CB,81,Pepe,Portugal,FC Porto,40
CB,79,Perr Schuurs,Holland,Torino,23
CB,69,Perry Ng,England,Cardiff City,27
CB,66,Peter Ouaneh,France,Stade Lavallois,25
CB,68,Petko Hristov,Bulgaria,Spezia,24
CB,70,Phil Neumann,Germany,Hannover 96,26
CB,61,Philip Slørdahl,Norway,Lillestrøm SK,22
CB,79,Philipp Lienhart,Austria,SC Freiburg,27
CB,67,Philipp Wiesinger,Austria,LASK,29
CB,70,Philipp Ziereis,Germany,LASK,30
CB,70,Philippe Sandler,Holland,N.E.C. Nijmegen,26
CB,60,Phillip Cancar,Australia,Newcastle Jets,22
CB,71,Pier Barrios,Argentina,Godoy Cruz,33
CB,64,Pierce Sweeney,Republic of Ireland,Exeter City,29
CB,64,Piero Guzmán,Peru,Universitario,23
CB,79,Piero Hincapié,Ecuador,Leverkusen,21
CB,78,Pierre Kalulu,France,Milan,23
CB,65,Pierre Lemonnier,France,En Avant Guingamp,30
CB,67,Pierre-Yves Ngawa,Belgium,OH Leuven,31
CB,71,Pietro Ceccaroni,Italy,Palermo,27
CB,66,Pietro Perdichizzi,Belgium,KVC Westerlo,29
CB,63,Piotr Malarczyk,Poland,Korona Kielce,32
CB,69,Pleguezuelo,Spain,Plymouth Argyle,26
CB,66,Pol Moreno,Spain,R. Racing Club,29
CB,74,Pontus Jansson,Sweden,Malmö FF,32
CB,70,Postigo,Spain,Levante UD,34
CB,55,Pratik Chaudhari,India,Jamshedpur FC,34
CB,82,Presnel Kimpembe,France,Paris SG,28
CB,65,Priestley Farquharson,England,Walsall,26
CB,63,Pritam Kotal,India,Kerala Blasters,30
CB,61,Przemysław Szur,Poland,Ruch Chorzów,27
CB,65,Przemysław Szymiński,Poland,Reggiana,29
CB,67,Przemysław Wiśniewski,Poland,Spezia,25
CB,73,Pulido,Spain,SD Huesca,32
CB,58,Qasem Lajami,Saudi Arabia,Al Fateh,27
CB,48,Qiu Zhongyi,China PR,Nantong Zhiyun FC,27
CB,62,Quentin Bena,France,FC Dinamo 1948,25
CB,71,Rade Dugalić,Serbia,Meizhou Hakka,30
CB,66,Radovan Pankov,Serbia,Legia Warszawa,28
CB,70,Radu Drăgușin,Romania,Genoa,21
CB,68,Rafael Caroca,Chile,Ñublense,34
CB,74,Rafael Czichos,Germany,Chicago Fire FC,33
CB,61,Rafael Fernandes,Portugal,Arouca,21
CB,66,Rafael Lutiger,Peru,Sporting Cristal,22
CB,63,Rafael Pereira,Brazil,Al Ain FC,23
CB,73,Rafael Pérez,Colombia,San Lorenzo,33
CB,65,Rafael Santos,Brazil,Moreirense FC,25
CB,80,Rafael Tolói,Italy,Bergamo Calcio,32
CB,67,Rafał Augustyniak,Poland,Legia Warszawa,29
CB,66,Rafał Janicki,Poland,Górnik Zabrze,31
CB,75,Raíllo,Spain,RCD Mallorca,32
CB,72,Ramiro Funes Mori,Argentina,River Plate,32
CB,67,Ramiro González,Argentina,Colo-Colo,32
CB,66,Ramón Coronel,Paraguay,Palmaflor,32
CB,54,Ramon Guzzo,Switzerland,FC Zürich,19
CB,66,Ramon Hendriks,Holland,Vitesse,22
CB,60,Ramzi Ferjani,Germany,FC Erzgebirge Aue,22
CB,69,Ranko Veselinović,Serbia,Whitecaps FC,24
CB,68,Raphael Rossi,Brazil,Radomiak Radom,33
CB,66,Raphael Schifferl,Austria,Unterhaching,24
CB,85,Raphaël Varane,France,Manchester Utd,30
CB,67,Rarmani Edmonds-Green,England,Huddersfield,24
CB,61,Rasim Bulić,Germany,Jahn Regensburg,22
CB,72,Rasmus Lauritsen,Denmark,Brøndby IF,27
CB,76,Rasmus Nicolaisen,Denmark,Toulouse FC,26
CB,64,Rasmus Sjöstedt,Sweden,Kalmar FF,31
CB,55,Rasmus Wikström,Sweden,Mjällby AIF,22
CB,65,Raúl Albentosa,Spain,Vejle Boldklub,35
CB,81,Raúl Albiol,Spain,Villarreal CF,38
CB,63,Rav van den Berg,Holland,Middlesbrough,19
CB,68,Ravil Tagir,Turkey,KVC Westerlo,20
CB,55,Rayan Hamed,Saudi Arabia,Al Ahli,21
CB,63,Rayan Kadima,France,Stade-Lausanne,25
CB,69,Rayan Raveloson,Madagascar,AJ Auxerre,26
CB,69,Rayyan Baniya,Turkey,Trabzonspor,24
CB,66,Raz Shlomo,Israel,OH Leuven,24
CB,61,Răzvan Patriche,Romania,FC Dinamo 1948,37
CB,62,Răzvan Tincu,Romania,Politehnica Iași,36
CB,62,Recasens,Spain,RCD Espanyol,21
CB,67,Redouan El Yaakoubi,Holland,Excelsior,27
CB,70,Reece Burke,England,Luton Town,27
CB,74,Reece Oxford,England,FC Augsburg,24
CB,56,Reece Welch,England,Forest Green,20
CB,68,Regan Poole,Wales,Portsmouth,25
CB,61,Rein Van Helden,Belgium,STVV,21
CB,62,Remigiusz Szywacz,Poland,Ruch Chorzów,27
CB,68,Ren Hang,China PR,Wuhan 3 Towns,34
CB,68,Renzo Garcés,Peru,UCV,27
CB,61,Rhys Bennett,England,Manchester Utd,19
CB,65,Rhys Williams,England,Aberdeen,22
CB,63,Ricardo Grigore,Romania,FC Dinamo 1948,24
CB,75,Ricardo Rodríguez,Switzerland,Torino,31
CB,70,Ricardo Santos,Portugal,Bolton,28
CB,72,Riccieli,Brazil,FC Famalicão,25
CB,59,Richard Brindley,England,Notts County,30
CB,65,Richard Jensen,Finland,Aberdeen,27
CB,65,Richard Keogh,Republic of Ireland,Wycombe,37
CB,68,Richard Mina,Ecuador,LDU Quito,24
CB,74,Richard Schunke,Argentina,Independiente DV,31
CB,62,Richard Taylor,England,St. Mirren,23
CB,70,Richard Windbichler,Austria,Rongcheng FC,32
CB,66,Richard Wood,England,Doncaster,38
CB,61,Rick Meissen,Holland,Sparta Rotterdam,21
CB,70,Rick van Drongelen,Holland,Samsunspor,24
CB,63,Ricki Lamie,Scotland,Dundee FC,30
CB,61,Rijad Sadiku,Bosnia and Herzegovina,FC Botoșani,23
CB,62,Rijad Smajić,Bosnia and Herzegovina,1. FC Köln,19
CB,63,Riley Harbottle,England,Hibernian,23
CB,65,Rim Chang Woo,Korea Republic,Jeju United,31
CB,71,Rob Atkinson,England,Bristol City,25
CB,72,Rob Dickie,England,Bristol City,27
CB,76,Rob Holding,England,Crystal Palace,28
CB,65,Robbie Cundy,England,Barnsley,26
CB,62,Robbie Deas,Scotland,Kilmarnock,23
CB,72,Róber,Spain,R. Sporting,28
CB,70,Robert Bauer,Germany,Al Tai,28
CB,58,Robert Castellanos,United States,Sporting KC,25
CB,69,Robert Ivanov,Finland,Braunschweig,29
CB,58,Róbert Thorkelsson,Iceland,CF Montréal,21
CB,60,Robert Voloder,Germany,Sporting KC,22
CB,66,Roberto Lopes,Cape Verde Islands,Shamrock Rovers,31
CB,68,Robin Bormuth,Germany,Karlsruher SC,28
CB,69,Robin Hranáč,Czech Republic,Viktoria Plzeň,23
CB,70,Robin Jansson,Sweden,Orlando City,31
CB,77,Robin Knoche,Germany,Union Berlin,31
CB,76,Robin Koch,Germany,Frankfurt,27
CB,82,Robin Le Normand,Spain,Real Sociedad,26
CB,75,Robin Pröpper,Holland,FC Twente,30
CB,61,Robin Voisine,France,FC Nantes,21
CB,64,Robin Ziegele,Germany,Jahn Regensburg,26
CB,66,Rocky Bushiri,Congo DR,Hibernian,23
CB,64,Rod McDonald,England,Harrogate Town,31
CB,70,Roderick Miranda,Portugal,Melb. Victory,32
CB,70,Rodri Tarín,Spain,R. Oviedo,27
CB,72,Rodrigo Abascal,Uruguay,Boavista FC,29
CB,77,Rodrigo Becão,Brazil,Fenerbahçe,27
CB,74,Rodrigo Echeverría,Chile,Huracán,28
CB,69,Rodrigo Guth,Brazil,Fortuna Sittard,22
CB,64,Rodrigo Schlegel,Argentina,Orlando City,26
CB,61,Rollin Menayese,Wales,Walsall,25
CB,72,Romain Thomas,France,SM Caen,35
CB,70,Roman Neustädter,Russia,KVC Westerlo,35
CB,60,Roman Yakuba,Ukraine,Puszcza,22
CB,63,Romoney Crichlow,England,Peterborough,24
CB,86,Ronald Araujo,Uruguay,FC Barcelona,24
CB,68,Ronnie Edwards,England,Peterborough,20
CB,63,Ronny Montero,Bolivia,Palmaflor,32
CB,54,Ronny Nelson,England,Colchester,20
CB,53,Rony Jansson,Finland,Kalmar FF,19
CB,59,Rory Feely,Republic of Ireland,Barrow,26
CB,68,Ros,Spain,Albacete BP,27
CB,68,Ross Sykes,England,R. Union St.-G.,24
CB,65,Rostyn Griffiths,Australia,Mumbai City FC,35
CB,64,Roy Gelmi,Switzerland,FC Winterthur,28
CB,71,Ruan,Brazil,Sassuolo,24
CB,50,Ruan Qilong,China PR,Beijing Guoan,22
CB,69,Rubén Alves,Spain,R. Racing Club,29
CB,89,Rúben Dias,Portugal,Manchester City,26
CB,71,Rúben Fernandes,Portugal,Gil Vicente,37
CB,70,Ruben Gabrielsen,Norway,Lillestrøm SK,31
CB,65,Rubén Pulido,Spain,SD Huesca,23
CB,66,Rubén Ramírez,Venezuela,Monagas SC,27
CB,73,Rúben Vezo,Portugal,Levante UD,29
CB,68,Rubert Quijada,Venezuela,Caracas F.C.,34
CB,69,Rudy Camacho,France,Columbus Crew,32
CB,64,Rune Paeshuyse,Belgium,KAS Eupen,21
CB,62,Ruon Tongyik,Australia,WS Wanderers,26
CB,67,Ryan Bennett,England,Cambridge Utd,33
CB,51,Ryan Bowden,Republic of Ireland,UCD AFC,20
CB,62,Ryan Delaney,Republic of Ireland,Newport County,27
CB,69,Ryan Flamingo,Holland,FC Utrecht,20
CB,64,Ryan Inniss,England,Forest Green,28
CB,60,Ryan Johnson,Northern Ireland,AFC Wimbledon,27
CB,63,Ryan Leak,Wales,Ross County,25
CB,68,Ryan Malone,United States,FC Ingolstadt 04,31
CB,67,Ryan McGowan,Australia,St. Johnstone,34
CB,71,Ryan Porteous,Scotland,Watford,24
CB,64,Ryan Sweeney,Republic of Ireland,Burton Albion,26
CB,68,Ryan Tafazolli,England,Wycombe,32
CB,65,Ryley Towler,England,Portsmouth,21
CB,69,Saad Agouzoul,Morocco,AJ Auxerre,26
CB,61,Saad Al Mousa,Saudi Arabia,Ettifaq FC,20
CB,67,Sadık Çiftpınar,Turkey,Kasımpaşa,30
CB,65,Saeed Al Rubaie,Saudi Arabia,Al Okhdood,29
CB,62,Sahmkou Camara,France,Stade-Lausanne,20
CB,69,Saïdou Sow,Guinea,Strasbourg,21
CB,58,Sais Santibáñez,Peru,UCV,20
CB,67,Salim Diakité,France,Ternana,23
CB,63,Salomon Patrick Amougou Nkoa,Cameroon,Hansa Rostock,24
CB,59,Sam Barnes,England,Blackburn Rovers,22
CB,74,Sam Beukema,Holland,Bologna,24
CB,54,Sam Gale,England,Gillingham,19
CB,66,Sam Hughes,England,Burton Albion,26
CB,67,Sam Hutchinson,England,Reading,34
CB,65,Sam Kersten,Holland,PEC Zwolle,25
CB,64,Sam Lavelle,Scotland,Carlisle United,27
CB,63,Sam McClelland,Northern Ireland,St. Johnstone,21
CB,62,Sam Sherring,England,Northampton,23
CB,64,Sam Stubbs,England,Bradford City,24
CB,58,Sam Todd,Republic of Ireland,Derry City,25
CB,67,Samba Camara,Mali,Sivasspor,30
CB,70,Samet Akaydın,Turkey,Fenerbahçe,29
CB,70,Sami Al Khaibari,Saudi Arabia,Al Fayha,34
CB,67,Samir Chergui,France,Paris FC,24
CB,66,Sampson Dweh,Liberia,Viktoria Plzeň,21
CB,57,Samson Baidoo,Austria,RB Salzburg,19
CB,78,Samuel Gigot,France,OM,29
CB,66,Samuel Rogers,United States,Lillestrøm SK,24
CB,65,Samuel Souprayen,France,Melbourne City,34
CB,79,Samuel Umtiti,France,LOSC Lille,29
CB,71,Samy Mmaee,Morocco,Ferencvárosi TC,27
CB,64,Sander Moen Foss,Norway,Sandefjord,24
CB,64,Sandesh Jhingan,India,FC Goa,30
CB,63,Sandrino Braun-Schumacher,Germany,SC Freiburg II,35
CB,68,Santiago Brunelli,Uruguay,River Plate,25
CB,77,Santiago Bueno,Uruguay,Wolves,24
CB,67,Santiago Echeverría,Argentina,Guabirá,33
CB,66,Santiago Etchebarne,Uruguay,Danubio,29
CB,71,Santiago García,Argentina,Alianza Lima,35
CB,60,Santiago Morales,Argentina,Sarmiento,22
CB,68,Santiago Mouriño,Uruguay,Real Zaragoza,21
CB,68,Santiago Núñez,Argentina,Estudiantes,23
CB,63,Santiago Quirós,Argentina,Racing Club,20
CB,62,Santiago Ramos Mingo,Argentina,Defensa,21
CB,61,Santiago Visentin,Argentina,Cittadella,24
CB,68,Sascha Mockenhaupt,Germany,Wehen Wiesbaden,32
CB,75,Saúl Coco,Equatorial Guinea,UD Las Palmas,24
CB,70,Saúl Salcedo,Paraguay,Olimpia,26
CB,67,Sauli Väisänen,Finland,Odense BK,29
CB,67,Saulo Decarli,Switzerland,Braunschweig,31
CB,66,Sava-Arangel Čestić,Serbia,Heracles Almelo,22
CB,68,Scott Kennedy,Canada,Wolfsberger AC,26
CB,73,Scott McKenna,Scotland,Nott'm Forest,26
CB,64,Scott Neville,Australia,Brisbane Roar,34
CB,70,Scott Wharton,England,Blackburn Rovers,26
CB,64,Scott Wootton,England,Well. Phoenix,32
CB,78,Sead Kolašinac,Bosnia and Herzegovina,Bergamo Calcio,30
CB,62,Sean Gannon,Republic of Ireland,Shamrock Rovers,32
CB,63,Seán Hoare,Republic of Ireland,Shamrock Rovers,29
CB,64,Seàn Long,Republic of Ireland,Cheltenham Town,28
CB,68,Sean McLoughlin,Republic of Ireland,Hull City,26
CB,67,Sean Morrison,England,Rotherham Utd,32
CB,70,Sean Nealis,United States,Red Bulls,26
CB,66,Sean Raggett,England,Portsmouth,29
CB,76,Sebastiaan Bornauw,Belgium,VfL Wolfsburg,24
CB,64,Sebastián Álvarez,Bolivia,O. Petrolero,22
CB,68,Sebastián Boselli,Uruguay,River Plate,19
CB,81,Sebastián Coates,Uruguay,Sporting CP,33
CB,69,Sebastian Griesbeck,Germany,Braunschweig,33
CB,65,Sebastian Hausner,Denmark,IFK Göteborg,23
CB,71,Sebastian Holmén,Sweden,IF Elfsborg,31
CB,66,Sebastian Mai,Germany,MSV Duisburg,29
CB,65,Sebastian Mrowca,Poland,Preußen Münster,29
CB,64,Sebastian Ohlsson,Sweden,Degerfors IF,30
CB,68,Sebastián Rodríguez,Colombia,Águilas Doradas,22
CB,72,Sebastian Schonlau,Germany,Hamburger SV,29
CB,65,Sebastián Silva,Chile,Cobresal,32
CB,61,Sebastián Valdéz,Argentina,Central Córdoba,27
CB,70,Sebastian Walukiewicz,Poland,Empoli,23
CB,74,Sebastiano Luperto,Italy,Empoli,27
CB,65,Sebastien Ibeagha,United States,FC Dallas,31
CB,63,Seid Korač,Luxembourg,Degerfors IF,21
CB,70,Semi Ajayi,Nigeria,West Brom,29
CB,65,Semi Belkahia,Germany,Arminia Bielefeld,24
CB,68,Semih Güler,Turkey,Adana Demirspor,28
CB,72,Sepp van den Berg,Holland,1. FSV Mainz 05,21
CB,62,Serafin Szota,Poland,Widzew Łódź,24
CB,63,Serano Seymor,Holland,Excelsior,21
CB,73,Serdar Aziz,Turkey,Fenerbahçe,32
CB,68,Serdar Saatçı,Turkey,SC Braga,20
CB,64,Serge-Philippe Raux-Yao,France,Rodez AF,24
CB,74,Sergi Gómez,Spain,RCD Espanyol,31
CB,68,Sergio,Spain,CD Leganés,31
CB,62,Sergio Barcia,Spain,CD Mirandés,22
CB,68,Sergio González,Spain,CD Tenerife,26
CB,69,Sergio Mosquera,Colombia,Atl. Nacional,29
CB,72,Sergiy Kryvtsov,Ukraine,Inter Miami CF,32
CB,53,Sha Yibo,China PR,Qingdao Hainiu,32
CB,61,Shadrach Ogie,Republic of Ireland,Gillingham,22
CB,60,Shane Blaney,Republic of Ireland,Motherwell,24
CB,73,Shane Duffy,Republic of Ireland,Norwich,31
CB,59,Shane Griffin,Republic of Ireland,Shelbourne,29
CB,59,Shane McEleney,Republic of Ireland,Derry City,32
CB,63,Shane O'Neill,United States,Toronto FC,30
CB,52,Shankar Sampingiraj,India,Bengaluru FC,28
CB,66,Shaquille Pinas,Suriname,Hammarby IF,25
CB,71,Shaun Hutchinson,England,Millwall,32
CB,68,Shawn Adewoye,Belgium,RKC Waalwijk,23
CB,68,Sheriff Sinyan,Gambia,Slavia Praha,27
CB,68,Shi Ke,China PR,Shandong Taishan,30
CB,63,Shin Se Gye,Korea Republic,Suwon FC,33
CB,72,Siebe Van der Heyden,Belgium,RCD Mallorca,25
CB,65,Sigurd Rosted,Norway,Toronto FC,29
CB,76,Sikou Niakaté,France,SC Braga,24
CB,61,Silvan Wallner,Switzerland,FC Zürich,21
CB,54,Simen Vatne Haram,Norway,Aalesunds FK,18
CB,63,Simen Wangberg,Norway,Stabæk Fotball,32
CB,67,Simon Graves,Denmark,Palermo,24
CB,81,Simon Kjær,Denmark,Milan,34
CB,68,Simon Lorenz,Germany,FC Ingolstadt 04,26
CB,68,Simon Piesinger,Austria,Wolfsberger AC,31
CB,64,Simon Scherder,Germany,Preußen Münster,30
CB,63,Simone Canestrelli,Italy,Pisa,23
CB,66,Simone Grippo,Switzerland,Lausanne-Sport,34
CB,70,Simone Romagnoli,Italy,Frosinone,33
CB,74,Sinaly Diomandé,Côte d'Ivoire,OL,22
CB,64,Sixto Mina,Ecuador,Dep. Cuenca,23
CB,67,Siyabonga Ngezana,South Africa,FCSB,26
CB,65,Slavko Damjanović,Serbia,Bengaluru FC,30
CB,71,Solomon Kverkvelia,Georgia,Al Okhdood,31
CB,63,Solomon Owusu,Ghana,Odds BK,27
